county,constituency,ward
Nairobi,KAMUKUNJI,EASTLEIGH SOUTH
Nairobi,KAMUKUNJI,PUMWANI
Nairobi,KANDARA,RUCHU
Nairobi,KANGUNDO,KANGUNDO CENTRAL
Nairobi,KASARANI,CLAY CITY
Nairobi,KASARANI,KASARANI
Nairobi,KASARANI,MWIKI
Nairobi,KASARANI,NJIRU
Nairobi,KASARANI,RUAI
Nairobi,KIAMBAA,KIHARA
Nairobi,KIAMBU,TOWNSHIP
Nairobi,KIBRA,LAINI SABA
Nairobi,KIBRA,LINDI
Nairobi,KIBRA,MAKINA
Nairobi,KIBRA,SARANGOMBE
Nairobi,KIBRA,WOODLEY/KENYATTA GOLF COURSE
Nairobi,KIBWEZI WEST,EMALI/MULALA
Nairobi,KIKUYU,KIKUYU
Nairobi,KIKUYU,KINOO
Nairobi,KIKUYU,NACHU
Nairobi,KILIFI NORTH,SOKONI
Nairobi,KILIFI SOUTH,MTEPENI
Nairobi,KISUMU WEST,NORTH WEST KISUMU
Nairobi,KITUI CENTRAL,MULANGO
Nairobi,KITUTU CHACHE SOUTH,NYAKOE
Nairobi,LAIKIPIA WEST,IGWAMITI
Nairobi,LAIKIPIA WEST,MARMANET
Nairobi,LANGATA,KAREN
Nairobi,LANGATA,MUGUMU-INI
Nairobi,LANGATA,NAIROBI WEST
Nairobi,LANGATA,NYAYO HIGHRISE
Nairobi,LANGATA,SOUTH C
Nairobi,LARI,KIJABE
Nairobi,LIMURU,LIMURU CENTRAL
Nairobi,MACHAKOS TOWN,MACHAKOS CENTRAL
Nairobi,MAKADARA,HARAMBEE
Nairobi,MAKADARA,MAKONGENI
Nairobi,MAKADARA,MARINGO/HAMZA
Nairobi,MAKADARA,VIWANDANI
Nairobi,MATHARE,HOSPITAL
Nairobi,MATHARE,HURUMA
Nairobi,MATHARE,KIAMAIKO
Nairobi,MATHARE,MABATINI
Nairobi,MATHARE,MLANGO KUBWA
Nairobi,MATHARE,NGEI
Nairobi,MATUNGULU,MATUNGULU EAST
Nairobi,MAVOKO,ATHI RIVER
Nairobi,MAVOKO,MUTHWANI
Nairobi,MAVOKO,SYOKIMAU/MULOLONGO
Nairobi,MBOONI,KITHUNGO/KITUNDU
Nairobi,MWEA,NYANGATI
Nairobi,NAROK NORTH,NAROK TOWN
Nairobi,NDARAGWA,SHAMATA
Nairobi,RARIEDA,WEST UYOMA
Nairobi,ROYSAMBU,GITHURAI
Nairobi,ROYSAMBU,KAHAWA
Nairobi,ROYSAMBU,KAHAWA WEST
Nairobi,ROYSAMBU,ROYSAMBU
Nairobi,ROYSAMBU,ZIMMERMAN
Nairobi,RUARAKA,BABA DOGO
Nairobi,RUARAKA,LUCKY SUMMER
Nairobi,RUARAKA,MATHARE NORTH
Nairobi,RUARAKA,UTALII
Nairobi,RUIRU,GITOTHUA
Nairobi,RUIRU,KAHAWA SUKARI
Nairobi,RUIRU,KAHAWA WENDANI
Nairobi,RUIRU,MWIKI
Nairobi,STAREHE,LANDIMAWE
Nairobi,STAREHE,NAIROBI CENTRAL
Nairobi,STAREHE,NAIROBI SOUTH
Nairobi,STAREHE,NGARA
Nairobi,STAREHE,PANGANI
Nairobi,STAREHE,UTALII
Nairobi,STAREHE,ZIWANI/KARIOKOR
Nairobi,SUBUKIA,SUBUKIA
Nairobi,THIKA TOWN,TOWNSHIP
Nairobi,TONGAREN,NAITIRI/KABUYEFWE
Nairobi,TURBO,HURUMA
Nairobi,TURBO,NGONG
Nairobi,WESTLANDS,BABA DOGO
Nairobi,WESTLANDS,KANGEMI
Nairobi,WESTLANDS,KARURA
Nairobi,WESTLANDS,KITISURU
Nairobi,WESTLANDS,MOUNTAIN VIEW
Nairobi,WESTLANDS,PARKLANDS/HIGHRIDGE
Nakuru,BAHATI,BAHATI
Nakuru,BAHATI,DUNDORI
Nakuru,BAHATI,KABATINI
Nakuru,BAHATI,KIAMAINA
Nakuru,BAHATI,LANET/UMOJA
Nakuru,ELDAMA RAVINE,KOIBATEK
Nakuru,GEM,SOUTH GEM
Nakuru,GILGIL,ELEMENTAITA
Nakuru,GILGIL,GILGIL
Nakuru,GILGIL,MALEWA WEST
Nakuru,GILGIL,MBARUK/EBURU
Nakuru,GILGIL,MURINDATI
Nakuru,KESSES,RACECOURSE
Nakuru,KIHARU,TOWNSHIP
Nakuru,KINANGOP,MURUNGARU
Nakuru,KURESOI NORTH,KAMARA
Nakuru,KURESOI NORTH,NYOTA
Nakuru,KURESOI NORTH,SIRIKWA
Nakuru,KURESOI SOUTH,AMALO
Nakuru,KURESOI SOUTH,KERINGET
Nakuru,KURESOI SOUTH,KIPTAGICH
Nakuru,MOLO,ELBURGON
Nakuru,MOLO,MOLO
Nakuru,MWEA,TEBERE
Nakuru,NAIVASHA,BIASHARA
Nakuru,NAIVASHA,HELLS GATE
Nakuru,NAIVASHA,LAKE VIEW
Nakuru,NAIVASHA,MAI MAHIU
Nakuru,NAIVASHA,MAIELLA
Nakuru,NAIVASHA,NAIVASHA EAST
Nakuru,NAIVASHA,NYAKIO
Nakuru,NAIVASHA,OLKARIA
Nakuru,NAIVASHA,VIWANDANI
Nakuru,NAKURU TOWN EAST,BIASHARA
Nakuru,NAKURU TOWN EAST,FLAMINGO
Nakuru,NAKURU TOWN EAST,KIVUMBINI
Nakuru,NAKURU TOWN EAST,MENENGAI
Nakuru,NAKURU TOWN EAST,NAKURU EAST
Nakuru,NAKURU TOWN WEST,KAPKURES
Nakuru,NAKURU TOWN WEST,KAPTEMBWO
Nakuru,NAKURU TOWN WEST,LONDON
Nakuru,NAKURU TOWN WEST,RHODA
Nakuru,NAKURU TOWN WEST,SHAABAB
Nakuru,NJORO,KIHINGO
Nakuru,NJORO,LARE
Nakuru,NJORO,MAU NAROK
Nakuru,NJORO,MAUCHE
Nakuru,NJORO,NESSUIT
Nakuru,NJORO,NJORO
Nakuru,Nakuru Town,Nakuru
Nakuru,RONGAI,MENENGAI WEST
Nakuru,RONGAI,MOSOP
Nakuru,RONGAI,SOIN
Nakuru,RONGAI,SOLAI
Nakuru,RONGAI,VISOI
Nakuru,SUBUKIA,KABAZI
Nakuru,SUBUKIA,SUBUKIA
Nandi,ALDAI,KAPTUMO-KABOI
Nandi,ALDAI,KEMELOI-MARABA
Nandi,ALDAI,KOBUJOI
Nandi,ALDAI,TERIK
Nandi,CHESUMEI,CHEMUNDU/KAPNG'ETUNY
Nandi,CHESUMEI,KIPTUYA
Nandi,CHESUMEI,KOSIRAI
Nandi,CHESUMEI,LELMOKWO/NGECHEK
Nandi,EMGWEN,KAPKANGANI
Nandi,EMGWEN,KAPSABET
Nandi,EMGWEN,KILIBWONI
Nandi,KESSES,RACECOURSE
Nandi,MOSOP,CHEPTERWAI
Nandi,MOSOP,KABIYET
Nandi,MOSOP,KURGUNG/SURUNGAI
Nandi,MOSOP,NDALAT
Nandi,NANDI HILLS,CHEPKUNYUK
Nandi,NANDI HILLS,NANDI HILLS
Nandi,NANDI HILLS,OL'LESSOS
Nandi,TINDERET,CHEMELIL/CHEMASE
Nandi,TINDERET,SONGHOR/SOBA
Nandi,TONGAREN,MILIMA
Nandi,TURBO,KAPSAOS
Narok,BOMET CENTRAL,CHESOEN
Narok,EMURUA DIKIRR,ILKERIN
Narok,EMURUA DIKIRR,OLOlMASANI
Narok,KAJIADO NORTH,ONGATA RONGAI
Narok,KILGORIS,KEYIAN
Narok,KILGORIS,KILGORIS CENTRAL
Narok,KILGORIS,KIMINTET
Narok,KILGORIS,LOLGORIAN
Narok,KILGORIS,SHANKOE
Narok,KINANGOP,ENGINEER
Narok,MOSOP,KABIYET
Narok,NAROK EAST,KEEKONYOKIE
Narok,NAROK EAST,MOSIRO
Narok,NAROK EAST,SUSWA
Narok,NAROK NORTH,MELILI
Narok,NAROK NORTH,NAROK TOWN
Narok,NAROK SOUTH,MAJIMOTO/NAROOSURA
Narok,NAROK SOUTH,OLOLULUNG'A
Narok,NAROK SOUTH,SAGAMIAN
Narok,NAROK SOUTH,SOGOO
Narok,NAROK WEST,MARA
Narok,NAROK WEST,SIANA
Nyamira,BORABU,KIABONYORU
Nyamira,BORABU,MEKENENE
Nyamira,BORABU,NYANSIONGO
Nyamira,KITUTU MASABA,GESIMA
Nyamira,KITUTU MASABA,KEMERA
Nyamira,KITUTU MASABA,MAGOMBO
Nyamira,KITUTU MASABA,MANGA
Nyamira,KITUTU MASABA,RIGOMA
Nyamira,NORTH MUGIRANGO,BOKEIRA
Nyamira,NORTH MUGIRANGO,EKERENYO
Nyamira,NORTH MUGIRANGO,ITIBO
Nyamira,NORTH MUGIRANGO,MAGWAGWA
Nyamira,WEST MUGIRANGO,BOGICHORA
Nyamira,WEST MUGIRANGO,BONYAMATUTA
Nyamira,WEST MUGIRANGO,BOSAMARO
Nyamira,WEST MUGIRANGO,NYAMAIYA
Nyamira,WEST MUGIRANGO,TOWNSHIP
Nyandarua,EMBAKASI CENTRAL,KAYOLE NORTH
Nyandarua,KIKUYU,KINOO
Nyandarua,KINANGOP,ENGINEER
Nyandarua,KINANGOP,GATHARA
Nyandarua,KINANGOP,GITHABAI
Nyandarua,KINANGOP,MAGUMU
Nyandarua,KINANGOP,MURUNGARU
Nyandarua,KINANGOP,NJABINIKIBURU
Nyandarua,KINANGOP,NORTH KINANGOP
Nyandarua,KIPIPIRI,KIPIPIRI
Nyandarua,KIPIPIRI,WANJOHI
Nyandarua,LAIKIPIA EAST,NANYUKI
Nyandarua,NDARAGWA,CENTRAL
Nyandarua,NDARAGWA,KIRIITA
Nyandarua,NDARAGWA,LESHAU/PONDO
Nyandarua,OL JOROK,GATIMU
Nyandarua,OL JOROK,WERU
Nyandarua,OL KALOU,KAIMBAGA
Nyandarua,OL KALOU,KANJUIRI RANGE
Nyandarua,OL KALOU,KARAU
Nyandarua,OL KALOU,MIRANGINE
Nyandarua,OL KALOU,RURII
Nyandarua,THIKA TOWN,TOWNSHIP
Nyeri,KANDUYI,TOWNSHIP
Nyeri,KIENI,GAKAWA
Nyeri,KIENI,GATARAKWA
Nyeri,KIENI,KABARU
Nyeri,KIENI,MUGUNDA
Nyeri,KIENI,MWEIGA
Nyeri,KIENI,MWIYOGO/ENDARASHA
Nyeri,KIENI,NAROMORU KIAMATHAGA
Nyeri,KIENI,THEGU RIVER
Nyeri,LAIKIPIA EAST,NANYUKI
Nyeri,LAIKIPIA WEST,IGWAMITI
Nyeri,MARAGWA,KIMORORI/WEMPA
Nyeri,MATHIRA,IRIAINI
Nyeri,MATHIRA,KARATINA TOWN
Nyeri,MATHIRA,KIRIMUKUYU
Nyeri,MATHIRA,KONYU
Nyeri,MATHIRA,RUGURU
Nyeri,MUKURWEINI,GIKONDI
Nyeri,MUKURWEINI,MUKURWE-INI CENTRAL
Nyeri,MUKURWEINI,MUKURWE-INI WEST
Nyeri,NYERI TOWN,GATITU/MURUGURU
Nyeri,NYERI TOWN,KAMAKWA/MUKARO
Nyeri,NYERI TOWN,KIGANJO/MATHARI
Nyeri,NYERI TOWN,RURING'U
Nyeri,NYERI TOWN,RWARE
Nyeri,OTHAYA,CHINGA
Nyeri,OTHAYA,IRIA-INI
Nyeri,OTHAYA,KARIMA
Nyeri,OTHAYA,MAHIGA
Nyeri,RUARAKA,BABA DOGO
Nyeri,TETU,AGUTHI-GAAKI
Nyeri,TETU,WAMAGANA
Nyeri,THIKA TOWN,TOWNSHIP
Nyeri,WESTLANDS,PARKLANDS/HIGHRIDGE
Samburu,SAMBURU EAST,WAMBA EAST
Samburu,SAMBURU EAST,WASO
Samburu,SAMBURU WEST,MARALAL
Siaya,ALEGO USONGA,CENTRAL ALEGO
Siaya,ALEGO USONGA,NORTH ALEGO
Siaya,ALEGO USONGA,SIAYA TOWNSHIP
Siaya,ALEGO USONGA,SOUTH EAST ALEGO
Siaya,ALEGO USONGA,WEST ALEGO
Siaya,AWENDO,SOUTH SAKWA
Siaya,BONDO,CENTRAL SAKWA
Siaya,BONDO,NORTH SAKWA
Siaya,BONDO,SOUTH SAKWA
Siaya,BONDO,WEST SAKWA
Siaya,BONDO,WEST YIMBO
Siaya,BONDO,YIMBO EAST
Siaya,GEM,CENTRAL GEM
Siaya,GEM,EAST GEM
Siaya,GEM,NORTH GEM
Siaya,GEM,SOUTH GEM
Siaya,GEM,WEST GEM
Siaya,GEM,YALA TOWNSHIP
Siaya,HOMA BAY TOWN,HOMA BAY CENTRAL
Siaya,KAJIADO NORTH,ONGATA RONGAI
Siaya,KISUMU WEST,WEST KISUMU
Siaya,RARIEDA,EAST ASEMBO
Siaya,RARIEDA,NORTH UYOMA
Siaya,RARIEDA,SOUTH UYOMA
Siaya,RARIEDA,WEST ASEMBO
Siaya,RARIEDA,WEST UYOMA
Siaya,UGENYA,NORTH UGENYA
Siaya,UGENYA,UKWALA
Siaya,UGENYA,WEST UGENYA
Siaya,UGUNJA,SIDINDI
Siaya,UGUNJA,SIGOMERE
Siaya,UGUNJA,UGUNJA
Taita Taveta,MWATATE,CHAWIA
Taita Taveta,MWATATE,MWATATE
Taita Taveta,TAVETA,BOMANI
Taita Taveta,TAVETA,CHALA
Taita Taveta,VOI,KALOLENI
Taita Taveta,VOI,MARUNGU
Taita Taveta,VOI,MBOLOLO
Taita Taveta,WUNDANYI,WERUGHA
Taita Taveta,WUNDANYI,WUMINGU/KISHUSHE
Taita Taveta,WUNDANYI,WUNDANYI/MBALE
Tana River,BURA,BANGALE
Tana River,BURA,HIRIMANI
Tana River,BURA,MADOGO
Tana River,BURA,SALA
Tana River,GALOLE,CHEWANI
Tana River,GALOLE,WAYU
Tana River,GARSEN,GARSEN CENTRAL
Tana River,GARSEN,GARSEN NORTH
Tana River,GARSEN,GARSEN SOUTH
Tana River,GARSEN,GARSEN WEST
Tharaka Nithi,CHUKA/IGAMBANG'OMBE,IGAMBANG'OMBE
Tharaka Nithi,CHUKA/IGAMBANG'OMBE,KARINGANI
Tharaka Nithi,CHUKA/IGAMBANG'OMBE,MAGUMONI
Tharaka Nithi,CHUKA/IGAMBANG'OMBE,MUGWE
Tharaka Nithi,MAARA,CHOGORIA
Tharaka Nithi,MAARA,MITHERU
Tharaka Nithi,MAARA,MUTHAMBI
Tharaka Nithi,MAARA,MWIMBI
Tharaka Nithi,THARAKA,CHIAKARIGA
Tharaka Nithi,THARAKA,GATUNGA
Tharaka Nithi,THARAKA,MARIMANTI
Tharaka Nithi,THARAKA,MUKOTHIMA
Trans Nzoia,CHERANGANY,CHEPSIRO/KIPTOROR
Trans Nzoia,CHERANGANY,CHERANGANY/SUWERWA
Trans Nzoia,CHERANGANY,MAKUTANO
Trans Nzoia,CHERANGANY,MOTOSIET
Trans Nzoia,CHERANGANY,SINYERERE
Trans Nzoia,CHERANGANY,SITATUNGA
Trans Nzoia,DAGORETTI NORTH,KILIMANI
Trans Nzoia,ENDEBESS,CHEPCHOINA
Trans Nzoia,ENDEBESS,ENDEBESS
Trans Nzoia,KIMININI,HOSPITAL
Trans Nzoia,KIMININI,KIMININI
Trans Nzoia,KIMININI,NABISWA
Trans Nzoia,KIMININI,SIKHENDU
Trans Nzoia,KIMININI,SIRENDE
Trans Nzoia,KIMININI,WAITALUK
Trans Nzoia,KWANZA,BIDII
Trans Nzoia,KWANZA,KAPOMBOI
Trans Nzoia,KWANZA,KEIYO
Trans Nzoia,KWANZA,KWANZA
Trans Nzoia,SABOTI,KINYORO
Trans Nzoia,SABOTI,MACHEWA
Trans Nzoia,SABOTI,MATISI
Trans Nzoia,SABOTI,SABOTI
Trans Nzoia,SABOTI,TUWANI
Trans Nzoia,TURKANA SOUTH,LOKICHAR
Turkana,LOIMA,LOIMA
Turkana,LOIMA,TURKWEL
Turkana,TURKANA CENTRAL,KALOKOL
Turkana,TURKANA CENTRAL,KANAMKEMER
Turkana,TURKANA CENTRAL,LODWAR TOWNSHIP
Turkana,TURKANA NORTH,KAERIS
Turkana,TURKANA SOUTH,KAPUTIR
Turkana,TURKANA SOUTH,LOKICHAR
Turkana,TURKANA WEST,KAKUMA
Turkana,TURKANA WEST,LOKICHOGGIO
Turkana,TURKANA WEST,LOPUR
Uasin Gishu,AINABKOI,AINABKOI/OLARE
Uasin Gishu,AINABKOI,KAPSOYA
Uasin Gishu,AINABKOI,KAPTAGAT
Uasin Gishu,BOBASI,BASI CENTRAL
Uasin Gishu,CHERANGANY,SITATUNGA
Uasin Gishu,CHESUMEI,LELMOKWO/NGECHEK
Uasin Gishu,DAGORETTI NORTH,KILIMANI
Uasin Gishu,Eldoret Town,Eldoret
Uasin Gishu,KAPSERET,KIPKENYO
Uasin Gishu,KAPSERET,LANGAS
Uasin Gishu,KAPSERET,NGERIA
Uasin Gishu,KAPSERET,SIMAT/KAPSERET
Uasin Gishu,KEIYO NORTH,KAMARINY
Uasin Gishu,KESSES,CHEPTIRET/KIPCHAMO
Uasin Gishu,KESSES,RACECOURSE
Uasin Gishu,KESSES,TARAKWA
Uasin Gishu,KESSES,TULWET/CHUIYAT
Uasin Gishu,LUGARI,LUGARI
Uasin Gishu,MATHARE,HURUMA
Uasin Gishu,MOIBEN,KARUNA/MEIBEKI
Uasin Gishu,MOIBEN,KIMUMU
Uasin Gishu,MOIBEN,MOIBEN
Uasin Gishu,MOIBEN,SERGOIT
Uasin Gishu,MOIBEN,TEMBELIO
Uasin Gishu,SOY,KUINET/KAPSUSWA
Uasin Gishu,SOY,MOI'S BRIDGE
Uasin Gishu,SOY,SOY
Uasin Gishu,SOY,ZIWA
Uasin Gishu,TURBO,HURUMA
Uasin Gishu,TURBO,KAMAGUT
Uasin Gishu,TURBO,KAPSAOS
Uasin Gishu,TURBO,KIPLOMBE
Uasin Gishu,TURBO,NGENYILEL
Uasin Gishu,TURBO,TAPSAGOI
Uasin Gishu,WESTLANDS,PARKLANDS/HIGHRIDGE
Vihiga,HAMISI,BANJA
Vihiga,HAMISI,GISAMBAI
Vihiga,HAMISI,JEPKOYAI
Vihiga,HAMISI,SHAMAKHOKHO
Vihiga,HAMISI,SHIRU
Vihiga,HAMISI,TAMBUA
Vihiga,KESSES,RACECOURSE
Vihiga,LUANDA,EMABUNGO
Vihiga,LUANDA,LUANDA SOUTH
Vihiga,LUANDA,LUANDA TOWNSHIP
Vihiga,LUANDA,MWIBONA
Vihiga,LUANDA,WEMILABI
Vihiga,MALAVA,CHEMUCHE
Vihiga,MUMIAS EAST,LUSHEYA/LUBINU
Vihiga,SABATIA,CHAVAKALI
Vihiga,SABATIA,LYADUYWA/IZAVA
Vihiga,SABATIA,NORTH MARAGOLI
Vihiga,SABATIA,WEST SABATIA
Vihiga,SABATIA,WODANGA
Vihiga,VIHIGA,CENTRAL MARAGOLI
Vihiga,VIHIGA,LUGAGA-WAMULUMA
Vihiga,VIHIGA,MUNGOMA
Wajir,ELDAS,ELDAS
Wajir,ELDAS,ELNUR/TULA TULA
Wajir,TARBAJ,TARBAJ
Wajir,WAJIR EAST,BARWAGO
Wajir,WAJIR EAST,KHOROF/HARAR
Wajir,WAJIR EAST,TOWNSHIP
Wajir,WAJIR EAST,WAGBERI
Wajir,WAJIR NORTH,BATALU
Wajir,WAJIR NORTH,BUTE
Wajir,WAJIR SOUTH,HABASSWEIN
Wajir,WAJIR SOUTH,LAGBOGHOL SOUTH
Wajir,WAJIR WEST,ADAMASAJIDE
Wajir,WAJIR WEST,ARBAJAHAN
Wajir,WAJIR WEST,GANYURE/WAGALLA
Wajir,WAJIR WEST,HADADO/ATHIBOHOL
West Pokot,KACHELIBA,ALALE
West Pokot,KACHELIBA,KAPCHOK
West Pokot,KACHELIBA,SUAM
West Pokot,KAPENGURIA,KAPENGURIA
West Pokot,KAPENGURIA,MNAGEI
West Pokot,KAPENGURIA,RIWO
West Pokot,KAPENGURIA,SIYOI
West Pokot,POKOT SOUTH,BATEI
West Pokot,POKOT SOUTH,CHEPARERIA
West Pokot,POKOT SOUTH,LELAN
West Pokot,SIGOR,LOMUT
West Pokot,SIGOR,WEIWEI
